time,x,y,z,vx,vy,vz,radius,in_late_averaging_window
6.100000000000000533e+00,7.688747658075203439e-01,5.227378472540977761e-01,1.860005293059275588e-01,2.562392482673895855e-01,-1.072192877587242396e-02,3.454962289973660672e-02,5.000000000000000278e-02,1.000000000000000000e+00
6.200000000000000178e+00,7.970309644048763076e-01,5.227904612290256159e-01,1.903207187589089633e-01,2.937296756638265727e-01,-2.782296462888111162e-03,5.437481737588188008e-02,5.000000000000000278e-02,1.000000000000000000e+00
6.300000000000000711e+00,8.281854774971513233e-01,5.230976875421365913e-01,1.962605470464301449e-01,3.090676254627859332e-01,-5.929618817332381027e-04,6.585702405439079754e-02,5.000000000000000278e-02,1.000000000000000000e+00
6.400000000000000355e+00,8.588999796793193031e-01,5.219896266157322273e-01,2.023119142848758822e-01,3.125249412264267668e-01,-1.361452492460167064e-02,4.635793599479828137e-02,5.000000000000000278e-02,1.000000000000000000e+00
6.500000000000000000e+00,8.899460060014237062e-01,5.197812174897747939e-01,2.061701415765118672e-01,3.305185790047415195e-01,-2.554182377157461145e-02,4.259660268876283573e-02,5.000000000000000278e-02,1.000000000000000000e+00
6.600000000000000533e+00,9.237823065646895149e-01,5.182236326078867306e-01,2.098521678450090966e-01,3.637343917879458099e-01,-1.289843368350872092e-02,3.425916462661252743e-02,5.000000000000000278e-02,1.000000000000000000e+00
6.700000000000000178e+00,9.586324835853505810e-01,5.177546697565865719e-01,2.115053153920002649e-01,3.825102039013079103e-01,-5.826079929958026017e-03,8.186087408010581795e-03,5.000000000000000278e-02,1.000000000000000000e+00
6.800000000000000711e+00,9.971886904519859929e-01,5.187103284330090158e-01,2.127148588210063251e-01,3.753293450002514464e-01,-3.089938746747297044e-02,2.068155404790701993e-02,5.000000000000000278e-02,1.000000000000000000e+00
6.900000000000000355e+00,1.316259242524919215e-01,4.625880398922723180e-01,1.437439692465761198e-01,1.053040013972903477e+00,-5.167185682324032525e-01,-3.516424164669890717e-01,5.000000000000000278e-02,1.000000000000000000e+00
7.000000000000000000e+00,2.146549092772484513e-01,4.291642556511723328e-01,1.205160439702769731e-01,6.768638941455330515e-01,-2.383653447506516865e-01,-1.652572314149753918e-01,5.000000000000000278e-02,1.000000000000000000e+00
7.100000000000000533e+00,2.704666101349494367e-01,4.125423914702483486e-01,1.101423757569448270e-01,4.931964927751466554e-01,-1.340459232331665529e-01,-7.288318833225025661e-02,5.000000000000000278e-02,1.000000000000000000e+00
7.200000000000000178e+00,3.117747590451944717e-01,4.029585294631590764e-01,1.071298476472186956e-01,4.060728004025492832e-01,-7.016684920473641174e-02,-1.757684016393955620e-02,5.000000000000000278e-02,1.000000000000000000e+00
7.300000000000000711e+00,3.481631383794663859e-01,3.975722618245051132e-01,1.082979305766609279e-01,3.714610071813617687e-01,-4.056992202351635685e-02,2.538633309388910186e-02,5.000000000000000278e-02,1.000000000000000000e+00
7.400000000000000355e+00,3.831287000675555054e-01,3.945127400344394242e-01,1.119872567134525543e-01,3.130693300419600256e-01,-3.128289009582267688e-02,6.215585205768257154e-02,5.000000000000000278e-02,1.000000000000000000e+00
7.500000000000000000e+00,4.160121412721650702e-01,3.919742051963558960e-01,1.178473925699563551e-01,3.137523479421763795e-01,-3.352469824616047256e-02,5.654525668607850164e-02,5.000000000000000278e-02,1.000000000000000000e+00
7.600000000000000533e+00,4.449606138325694626e-01,3.892027890248402899e-01,1.236362388593819223e-01,2.904176569480222958e-01,-3.366631542313301695e-02,7.262675648547631257e-02,5.000000000000000278e-02,1.000000000000000000e+00
7.700000000000000178e+00,4.767960604033208982e-01,3.852801052377087254e-01,1.302651172228450061e-01,3.151544643615164509e-01,-3.214568959661415204e-02,7.528692317781880694e-02,5.000000000000000278e-02,1.000000000000000000e+00
7.800000000000000711e+00,5.074945475473783274e-01,3.821553970165870173e-01,1.365877163652063908e-01,2.870172892167283663e-01,-3.213001625959192170e-02,3.932074775785968784e-02,5.000000000000000278e-02,1.000000000000000000e+00
7.900000000000000355e+00,5.356209709857916446e-01,3.794566910784156200e-01,1.399482154400014944e-01,2.658564017692713333e-01,-2.899449095932684142e-02,3.215850568063233217e-02,5.000000000000000278e-02,1.000000000000000000e+00
8.000000000000000000e+00,5.609565934846518775e-01,3.780266713515185173e-01,1.435504168137588521e-01,2.639289969719469942e-01,-1.187521072975838976e-02,3.896896219492616137e-02,5.000000000000000278e-02,1.000000000000000000e+00
8.099999999999999645e+00,5.880096285279227120e-01,3.785162963243215994e-01,1.484994132782794241e-01,2.721616931783849558e-01,1.357313884706869795e-03,5.547135300931899105e-02,5.000000000000000278e-02,1.000000000000000000e+00
8.200000000000001066e+00,6.142572484049581005e-01,3.779603745336248544e-01,1.521776185761587186e-01,2.892693377938554966e-01,-9.194650229608553049e-03,3.792854742831174020e-02,5.000000000000000278e-02,1.000000000000000000e+00
8.300000000000000711e+00,6.410852958317067030e-01,3.776203305067835636e-01,1.547470923369570206e-01,2.427681888862523452e-01,-2.719540138231881562e-03,2.271411607172033401e-02,5.000000000000000278e-02,1.000000000000000000e+00
8.400000000000000355e+00,6.653609591905388365e-01,3.770006890838346614e-01,1.560876619697629253e-01,2.648731775814142098e-01,-6.133444757393840402e-03,6.060809649162679676e-03,5.000000000000000278e-02,1.000000000000000000e+00
