time,x_wrapped,s_unwrapped,y,z,vx,vy,vz,radius,in_late_window,in_velocity_fit_window,vx_linear_fit
2.500000000000000000e+00,1.858963794016755822e-01,2.391344189257389896e+00,5.192776534938352562e-01,2.376935915476312278e-01,2.322355698649529732e+00,-4.866110993493978631e-02,-4.944990634383365780e-02,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.413619860349005553e+00
2.600000000000000089e+00,3.910970512694065815e-01,2.596544861125120729e+00,5.240314910573987683e-01,2.359941963859185088e-01,2.614151133042453168e+00,-2.842297732452899947e-02,-7.563191326288618010e-02,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.439918024239832395e+00
2.700000000000000178e+00,7.230185349841873332e-01,2.928466344839901314e+00,5.445771738956256547e-01,2.306757731600672379e-01,2.595099381044936759e+00,-1.121653920814128375e-01,-2.260180221098450140e-02,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.466216188130659237e+00
2.800000000000000266e+00,2.087226282446116021e-01,3.414170438100325722e+00,5.421616715916437457e-01,2.089655046460439924e-01,3.061445934285455195e+00,1.372029206587382644e-01,2.548682688055571230e-02,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.492514352021486079e+00
2.900000000000000355e+00,5.644567721726574394e-01,3.769904582028371642e+00,5.516271126735682317e-01,2.084895853232101581e-01,2.849846679870541966e+00,-1.006998862696904529e-01,6.493873314496437406e-03,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.518812515912312922e+00
3.000000000000000000e+00,9.147275258186287061e-01,4.120175335674343131e+00,5.295008883028069491e-01,1.845943213415098538e-01,2.478690728409241206e+00,1.234248773876847338e-01,-4.801636942712431133e-02,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.545110679803139764e+00
3.100000000000000089e+00,1.652181903419370212e-01,4.370666000197651613e+00,5.162207164679154525e-01,2.429155772262869828e-01,2.482098766612891083e+00,-9.315504416159679779e-02,6.951122181146972279e-02,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.571408843693966606e+00
3.200000000000000178e+00,4.743960569805615868e-01,4.679843866836276511e+00,5.478771326170023270e-01,2.397881003144017309e-01,3.162528414362223206e+00,1.268740798786112955e-01,8.976602651619300377e-02,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.597707007584793448e+00
3.300000000000000266e+00,8.188932221271187917e-01,5.024341031982833883e+00,5.700032670569933346e-01,2.626688551588852727e-01,2.275359379157690487e+00,-4.675361498962773282e-02,2.032402445818345602e-02,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.624005171475620513e+00
3.400000000000000355e+00,1.788365073175909870e-01,5.384284317173306356e+00,5.663563637086028724e-01,2.269542600193913406e-01,3.037700437239383433e+00,6.452408949456225895e-02,3.394255263583583621e-02,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.650303335366447355e+00
3.500000000000000000e+00,4.748681497380448646e-01,5.680315959593760233e+00,5.794678378254671802e-01,2.617911934431939591e-01,2.458720063700433833e+00,-1.368898411951504843e-02,8.197296772471968085e-02,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.676601499257273975e+00
3.600000000000000089e+00,7.242506593008213311e-01,5.929698469156536866e+00,6.163488481516707918e-01,2.799430471072097970e-01,2.530298831737463505e+00,7.297006811994743991e-03,-1.220166894372723132e-01,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.702899663148101039e+00
3.700000000000000178e+00,1.639665211647345355e-01,6.369414331020450071e+00,5.683209865244490677e-01,2.644884462086456445e-01,2.822781266621803287e+00,-8.264461655459183487e-02,2.278647952053218864e-02,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.729197827038928104e+00
3.800000000000000266e+00,4.260310164521081133e-01,6.631478826307823482e+00,6.021598054843695369e-01,2.316470613962252623e-01,2.688445186646876817e+00,1.090316093093010308e-01,2.050835720525576861e-02,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.755495990929754946e+00
3.900000000000000355e+00,7.567415659241064629e-01,6.962189375779821887e+00,6.112388288962214977e-01,2.768983436669038567e-01,2.374920069361334818e+00,2.016842804807551445e-02,-4.550156896558153752e-02,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.781794154820581788e+00
4.000000000000000000e+00,9.428330620969932463e-02,7.299731116065414582e+00,6.024060081476024786e-01,2.701301565599843468e-01,2.106310636380440027e+00,5.106150967035382598e-02,6.941037458009217953e-02,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.808092318711408630e+00
4.100000000000000533e+00,4.505043166664742249e-01,7.655952126522189261e+00,6.428844946331344623e-01,2.869598156785977960e-01,2.846329992744840442e+00,6.280596053874654139e-02,-1.050216592894098397e-02,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.834390482602235473e+00
4.200000000000000178e+00,7.453643704809593817e-01,7.950812180336674473e+00,6.367809952118057559e-01,3.094565547822268337e-01,2.539369771441307044e+00,-8.180710219728083710e-02,1.395889991833259292e-01,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.860688646493062315e+00
4.299999999999999822e+00,5.188981176786028326e-02,8.257337621623575430e+00,6.166649384188208627e-01,3.030928659807450298e-01,2.883871488042543341e+00,-4.749269270875444010e-02,-1.911084012277505240e-01,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.886986810383889157e+00
4.400000000000000355e+00,5.668545308231542901e-01,7.772302340678869825e+00,6.447158102341618013e-01,3.069947451879329048e-01,2.163358350818684883e+00,-1.821729449644704513e-02,8.810778177797044808e-02,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.913284974274715999e+00
4.500000000000000000e+00,7.530812987966946093e-01,7.958529108652410144e+00,6.314576482990925665e-01,3.044856155952582744e-01,2.909980597590682283e+00,-6.054671826561847797e-02,-9.074791693281067384e-02,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.939583138165542842e+00
4.600000000000000533e+00,5.606194484912735421e-02,8.261509754704842834e+00,6.415197474820112378e-01,2.663254494351642299e-01,2.130745337342919488e+00,-4.972932383290527142e-03,1.019007736738392206e-01,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.965881302056370128e+00
4.700000000000000178e+00,4.758532016292645883e-01,8.681301011484979568e+00,6.303963947988684424e-01,3.279660942738652496e-01,2.726659501145074938e+00,4.802906781402582065e-02,2.386344168430677357e-02,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.992179465947196526e+00
4.800000000000000711e+00,9.134503374221434324e-01,9.118898147277858968e+00,6.309640393068649544e-01,3.292962925773678662e-01,3.095428948002618696e+00,-7.401411943283206507e-02,1.902949118647683175e-03,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.018477629838023812e+00
4.900000000000000355e+00,4.267279324864989842e-01,8.632175742342214519e+00,6.485589142285552722e-01,2.993940309173465653e-01,2.503632658173780001e+00,7.835861922606744689e-02,1.053740439622223857e-01,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.044775793728850655e+00
5.000000000000000000e+00,8.189794472838918260e-01,9.024427257139606695e+00,6.431265849397027612e-01,3.262548280615328866e-01,3.215880482285140562e+00,1.917315204328201919e-02,-8.001974176801984751e-02,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.071073957619677497e+00
5.100000000000000533e+00,5.636001921806794712e-01,8.769048002036393896e+00,6.199156661091990150e-01,2.998352321760919259e-01,3.081234147554060332e+00,-8.320752758507926616e-02,-5.167575789972335409e-02,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.097372121510504339e+00
5.200000000000000178e+00,1.240999751017579644e-01,8.329547784957473056e+00,6.333715445274743505e-01,3.040359935915578626e-01,3.109174412416546573e+00,-8.196072196562907697e-02,4.461406807831035798e-02,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.123670285401331181e+00
5.300000000000000711e+00,6.544306659571218487e-01,7.859878475812837273e+00,6.194307174013211625e-01,2.785749773463308543e-01,3.019932316219250179e+00,-6.167382096023412211e-03,2.531535931060635916e-02,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.149968449292158024e+00
5.400000000000000355e+00,1.355326169971073358e-01,8.340980426852823371e+00,6.289585916868329907e-01,3.086572000922846448e-01,3.344351405142793165e+00,3.331432967678111309e-03,-7.889394965533054471e-02,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.176266613182984866e+00
5.500000000000000000e+00,5.500208123483383282e-01,8.755468622204054086e+00,6.245731612079661321e-01,2.912453299624229719e-01,3.016704928201884073e+00,4.457478101551420012e-03,-4.091192058320631750e-03,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.202564777073811708e+00
5.600000000000000533e+00,1.195957964315717548e-01,8.325043606287287901e+00,6.327534910760784781e-01,2.991832249040622393e-01,3.380185447707801494e+00,-4.231355936485158009e-02,9.858089986665601046e-02,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.228862940964638550e+00
5.700000000000000178e+00,6.615938408126029735e-01,7.867041650668319619e+00,6.387304834708895651e-01,2.905921772471232734e-01,2.607433230539265345e+00,-7.824834980115904365e-03,-4.912185317672858320e-02,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.255161104855465393e+00
5.800000000000000711e+00,1.062692369831562678e-01,8.311717046838872136e+00,6.464362497950368880e-01,3.280793551778067307e-01,3.271742363225462746e+00,1.015458393750202741e-02,1.302400006291746515e-01,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.281459268746292679e+00
5.900000000000000355e+00,5.754888091892362834e-01,8.780936619044952707e+00,6.097196826078697951e-01,3.490606459568367792e-01,2.577023838087680208e+00,-6.173301044073899180e-02,-1.787269731053121036e-01,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.307757432637119077e+00
6.000000000000000000e+00,9.373315888148913144e-01,9.142779398670608515e+00,5.958883038237644536e-01,3.165558951221584261e-01,2.928472130297585796e+00,-3.037581029204603628e-02,1.729603399691707344e-01,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.334055596527945919e+00
6.100000000000000533e+00,5.158916693508365237e-01,8.721339479206553946e+00,6.215239554914473441e-01,3.072230584524514585e-01,3.140654407042007712e+00,1.215640188731843957e-01,-5.725955406564385911e-03,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.360353760418773206e+00
6.200000000000000178e+00,8.744799537622796048e-01,9.079927763617996916e+00,6.299133529628843098e-01,3.272440148208919375e-01,2.845162766094176732e+00,-2.528377629860025649e-02,-8.006924566786763342e-02,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.386651924309600048e+00
6.300000000000000711e+00,3.815572265145104058e-01,8.587005036370227273e+00,6.486915980195637754e-01,3.176624215144783214e-01,3.499680494831062028e+00,-8.016589828172686338e-02,1.114686430885448859e-01,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.412950088200426890e+00
6.400000000000000355e+00,9.400653434144381482e-01,8.145513153270155016e+00,5.991033980092373978e-01,3.301616256590693688e-01,2.981337274311180785e+00,-1.135231808968655866e-02,2.504208693487494294e-02,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.439248252091253732e+00
6.500000000000000000e+00,5.668999061236874581e-01,7.772347715979404548e+00,6.530878506654971272e-01,3.246550094047351842e-01,2.983184032850509038e+00,9.707297872568111663e-02,-1.990354455831042785e-02,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.465546415982080575e+00
